local_time,city,latitude,longitude,AT,RH,PM2_5,PM10
31-03-2025 10:00,Varanasi,25.307449,83.006867,36.41,20.18,36.4,120.57
31-03-2025 10:00,Varanasi,25.310865,82.994808,,56.08,397.69,575.33
31-03-2025 10:00,Varanasi,25.306425,82.950814,35.59,18.96,37.22,122.73
31-03-2025 10:00,Varanasi,25.2799085,82.9795844,33.33,23.89,45.63,116.81
31-03-2025 10:00,Varanasi,25.310864,82.994804,33.65,26.65,35.1,120.53
31-03-2025 11:00,Varanasi,25.307449,83.006867,39.93,13.82,29.86,101.52
31-03-2025 11:00,Varanasi,25.310865,82.994808,,78.26,572.2,819.96
31-03-2025 11:00,Varanasi,25.306425,82.950814,38.11,14.15,31.6,103.86
31-03-2025 11:00,Varanasi,25.2799085,82.9795844,35.2,18.22,36.7,84.56
31-03-2025 11:00,Varanasi,25.310864,82.994804,36.11,21.11,28.77,100.43
31-03-2025 12:00,Varanasi,25.307449,83.006867,41.94,12.35,23.58,75.93
31-03-2025 12:00,Varanasi,25.310865,82.994808,,86.75,636.78,911.1
31-03-2025 12:00,Varanasi,25.306425,82.950814,40.47,12.11,26.53,78.5
31-03-2025 12:00,Varanasi,25.2799085,82.9795844,37.06,15.65,28.8,64
31-03-2025 12:00,Varanasi,25.310864,82.994804,37.77,19.21,22.23,74.15
31-03-2025 13:00,Varanasi,25.307449,83.006867,43.28,11.51,16.75,65.03
31-03-2025 13:00,Varanasi,25.310865,82.994808,,85.96,624.96,894.19
31-03-2025 13:00,Varanasi,25.306425,82.950814,42.6,10.61,18.61,67.78
31-03-2025 13:00,Varanasi,25.2799085,82.9795844,38.84,14.32,24.35,56.05
31-03-2025 13:00,Varanasi,25.310864,82.994804,39.43,18.14,16.34,65.15
31-03-2025 14:00,Varanasi,25.307449,83.006867,44.28,9.65,17.37,60.62
31-03-2025 14:00,Varanasi,25.310865,82.994808,,88.13,595.82,852.64
31-03-2025 14:00,Varanasi,25.306425,82.950814,44.36,9.45,17.92,63.26
31-03-2025 14:00,Varanasi,25.2799085,82.9795844,40.22,12.52,18.18,48.9
31-03-2025 14:00,Varanasi,25.310864,82.994804,41.59,15.7,14.26,56.56
31-03-2025 15:00,Varanasi,25.307449,83.006867,44.26,9.32,16.39,50.97
31-03-2025 15:00,Varanasi,25.310865,82.994808,,79.13,579.59,829.47
31-03-2025 15:00,Varanasi,25.306425,82.950814,44.86,8.75,19.4,53.99
31-03-2025 15:00,Varanasi,25.2799085,82.9795844,41.33,11.53,15.79,45.75
31-03-2025 15:00,Varanasi,25.310864,82.994804,40.31,15.9,16.26,50.83
31-03-2025 16:00,Varanasi,25.307449,83.006867,42.71,9.92,13.87,40.48
31-03-2025 16:00,Varanasi,25.310865,82.994808,,83.52,536.85,769.03
31-03-2025 16:00,Varanasi,25.306425,82.950814,42.87,8.71,16.36,42.95
31-03-2025 16:00,Varanasi,25.2799085,82.9795844,41.33,11.51,20.91,51.85
31-03-2025 16:00,Varanasi,25.310864,82.994804,36.78,17.81,20.04,44.08
31-03-2025 17:00,Varanasi,25.307449,83.006867,39.52,11.48,18.2,41.6
31-03-2025 17:00,Varanasi,25.310865,82.994808,,95,700,1000
31-03-2025 17:00,Varanasi,25.306425,82.950814,39.39,10.58,18.16,41.55
31-03-2025 17:00,Varanasi,25.2799085,82.9795844,38.29,13.29,24.04,53.95
31-03-2025 17:00,Varanasi,25.310864,82.994804,35.5,18.91,17.99,41.34
31-03-2025 18:00,Varanasi,25.307449,83.006867,35.81,15.26,28.07,52.32
31-03-2025 18:00,Varanasi,25.310865,82.994808,,93.74,690.06,985.89
31-03-2025 18:00,Varanasi,25.306425,82.950814,35.23,15.14,29.8,54.05
31-03-2025 18:00,Varanasi,25.2799085,82.9795844,34.31,18.29,31.14,61.13
31-03-2025 18:00,Varanasi,25.310864,82.994804,34.37,21.3,27.63,51.86
